epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2011.12,0.32976,0.23729,0.85409,0.99951,1,0.995,0.97251,0.27662,0.17347,0.83089,0.0010991,0.0010991,0.0010991
93,2033.52,0.33874,0.2449,0.86221,0.9995,1,0.995,0.96788,0.26754,0.1698,0.82477,0.0010892,0.0010892,0.0010892
94,2055.59,0.31604,0.23166,0.84677,0.9995,1,0.995,0.96966,0.25421,0.1716,0.81839,0.0010793,0.0010793,0.0010793
95,2078.87,0.33018,0.24414,0.85269,0.99949,1,0.995,0.9679,0.2623,0.1676,0.82492,0.0010694,0.0010694,0.0010694
96,2101.8,0.33345,0.23823,0.8541,0.99949,1,0.995,0.97618,0.27094,0.17131,0.81895,0.0010595,0.0010595,0.0010595
97,2124.03,0.32051,0.24141,0.84951,0.99951,1,0.995,0.96891,0.27894,0.1758,0.82907,0.0010496,0.0010496,0.0010496
98,2146.81,0.31593,0.23467,0.84706,0.99949,1,0.995,0.97246,0.27605,0.17929,0.82311,0.0010397,0.0010397,0.0010397
99,2170.11,0.32192,0.23623,0.84501,0.9995,1,0.995,0.97094,0.27413,0.17861,0.82142,0.0010298,0.0010298,0.0010298
100,2193.27,0.33445,0.2408,0.84615,0.9995,1,0.995,0.96519,0.28673,0.17988,0.82442,0.0010199,0.0010199,0.0010199
101,2216.9,0.32374,0.23576,0.84537,0.99949,1,0.995,0.97078,0.27124,0.17248,0.82307,0.00101,0.00101,0.00101
102,2239.06,0.3112,0.22777,0.84694,0.9995,1,0.995,0.97015,0.28298,0.18426,0.82644,0.0010001,0.0010001,0.0010001
103,2261.46,0.31912,0.23496,0.84401,0.99948,1,0.995,0.97882,0.26592,0.17188,0.82214,0.0009902,0.0009902,0.0009902
104,2282.72,0.31933,0.2308,0.84993,0.9995,1,0.995,0.97437,0.25841,0.1618,0.82064,0.0009803,0.0009803,0.0009803
105,2303.89,0.32737,0.23814,0.86291,0.9995,1,0.995,0.96267,0.29746,0.18548,0.82959,0.0009704,0.0009704,0.0009704
106,2324.92,0.31337,0.22977,0.84063,0.99948,1,0.995,0.96828,0.28086,0.17912,0.82785,0.0009605,0.0009605,0.0009605
107,2346.19,0.30477,0.22658,0.84181,0.9995,1,0.995,0.97041,0.27577,0.17476,0.82646,0.0009506,0.0009506,0.0009506
108,2367.26,0.32368,0.23682,0.85379,0.9995,1,0.995,0.97726,0.26328,0.17624,0.81669,0.0009407,0.0009407,0.0009407
109,2388.62,0.32081,0.2368,0.84448,0.9995,1,0.995,0.97616,0.28794,0.18315,0.82355,0.0009308,0.0009308,0.0009308
110,2409.83,0.30837,0.229,0.84277,0.99949,1,0.995,0.97212,0.27107,0.17034,0.82308,0.0009209,0.0009209,0.0009209
111,2431.16,0.30396,0.22273,0.84001,0.9995,1,0.995,0.96928,0.26927,0.16795,0.82073,0.000911,0.000911,0.000911
112,2452.43,0.31688,0.23094,0.84849,0.99949,1,0.995,0.9742,0.28131,0.17568,0.82711,0.0009011,0.0009011,0.0009011
113,2474.18,0.32214,0.23041,0.84843,0.99948,1,0.995,0.96779,0.27893,0.16146,0.82841,0.0008912,0.0008912,0.0008912
114,2496.02,0.31482,0.22633,0.8418,0.9995,1,0.995,0.97319,0.26769,0.16718,0.82526,0.0008813,0.0008813,0.0008813
115,2517.85,0.30406,0.22426,0.84305,0.9995,1,0.995,0.96918,0.27174,0.1689,0.82709,0.0008714,0.0008714,0.0008714
116,2539.59,0.30863,0.22888,0.84799,0.9995,1,0.995,0.96857,0.27808,0.16834,0.82844,0.0008615,0.0008615,0.0008615
117,2561.6,0.3158,0.22829,0.84776,0.99948,1,0.995,0.9713,0.25933,0.16812,0.82112,0.0008516,0.0008516,0.0008516
118,2583.5,0.3143,0.22956,0.84885,0.99949,1,0.995,0.96737,0.2811,0.17103,0.82819,0.0008417,0.0008417,0.0008417
119,2605.49,0.30882,0.2278,0.84794,0.99948,1,0.995,0.96687,0.26907,0.17369,0.82584,0.0008318,0.0008318,0.0008318
120,2627.42,0.30736,0.22274,0.85272,0.99951,1,0.995,0.97025,0.26972,0.16637,0.82217,0.0008219,0.0008219,0.0008219
121,2649.3,0.30565,0.22242,0.84457,0.99948,1,0.995,0.9722,0.26797,0.15924,0.81948,0.000812,0.000812,0.000812
122,2671.22,0.3124,0.22831,0.84392,0.99949,1,0.995,0.97364,0.25769,0.16651,0.81908,0.0008021,0.0008021,0.0008021
123,2693.15,0.31025,0.22633,0.84657,0.99949,1,0.995,0.96832,0.25989,0.16271,0.81895,0.0007922,0.0007922,0.0007922
124,2714.98,0.31634,0.2272,0.84683,0.99948,1,0.995,0.96529,0.27768,0.16356,0.81964,0.0007823,0.0007823,0.0007823
125,2736.85,0.30686,0.22303,0.84705,0.99948,1,0.995,0.96525,0.26913,0.16679,0.81961,0.0007724,0.0007724,0.0007724
126,2758.74,0.30488,0.22108,0.83911,0.99951,1,0.995,0.971,0.26726,0.16411,0.82149,0.0007625,0.0007625,0.0007625
127,2780.66,0.30218,0.22141,0.84808,0.99951,1,0.995,0.96982,0.2505,0.16352,0.81538,0.0007526,0.0007526,0.0007526
