epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,12889.3,0.32687,0.2281,0.90966,0.99945,1,0.995,0.97397,0.26891,0.17965,0.91386,0.0007526,0.0007526,0.0007526
128,12989.9,0.32512,0.22494,0.89737,0.99945,1,0.995,0.98079,0.26915,0.17125,0.91696,0.0007427,0.0007427,0.0007427
129,13090.8,0.33903,0.23011,0.91035,0.99928,1,0.995,0.97555,0.27834,0.18025,0.92174,0.0007328,0.0007328,0.0007328
130,13191.6,0.33407,0.23027,0.9107,0.99939,1,0.995,0.97574,0.2676,0.17975,0.91367,0.0007229,0.0007229,0.0007229
131,13292.5,0.33171,0.22907,0.89833,0.9994,1,0.995,0.97833,0.26848,0.1762,0.91603,0.000713,0.000713,0.000713
132,13393.6,0.32915,0.22605,0.89504,0.99942,1,0.995,0.97706,0.27507,0.1814,0.92746,0.0007031,0.0007031,0.0007031
133,13494.1,0.32876,0.22822,0.89843,0.9994,1,0.995,0.97551,0.26813,0.17347,0.91778,0.0006932,0.0006932,0.0006932
134,13595.2,0.33029,0.23173,0.90231,0.99944,1,0.995,0.97523,0.26465,0.173,0.9088,0.0006833,0.0006833,0.0006833
135,13696.4,0.32006,0.22473,0.89928,0.99947,1,0.995,0.975,0.28247,0.17777,0.93404,0.0006734,0.0006734,0.0006734
136,13797.4,0.32177,0.22439,0.90288,0.99946,1,0.995,0.97971,0.27565,0.18362,0.92221,0.0006635,0.0006635,0.0006635
137,13898.4,0.32197,0.2252,0.89651,0.99944,1,0.995,0.97613,0.27275,0.17627,0.91675,0.0006536,0.0006536,0.0006536
138,13999.4,0.30844,0.21804,0.88791,0.99947,1,0.995,0.97498,0.27215,0.17511,0.91487,0.0006437,0.0006437,0.0006437
139,14100.8,0.31275,0.21943,0.89157,0.9994,1,0.995,0.97167,0.2787,0.18012,0.92531,0.0006338,0.0006338,0.0006338
140,14201.7,0.31774,0.21706,0.89408,0.99944,1,0.995,0.97429,0.26562,0.17063,0.9139,0.0006239,0.0006239,0.0006239
141,14303.5,0.31947,0.22005,0.90139,0.99946,1,0.995,0.9738,0.27358,0.16753,0.92779,0.000614,0.000614,0.000614
142,14405,0.32442,0.22279,0.9033,0.99946,1,0.995,0.97207,0.26913,0.17172,0.91384,0.0006041,0.0006041,0.0006041
143,14506.6,0.31431,0.21646,0.89273,0.99946,1,0.995,0.97556,0.26177,0.16752,0.91002,0.0005942,0.0005942,0.0005942
144,14608.1,0.31754,0.21806,0.89874,0.99943,1,0.995,0.97291,0.26315,0.17085,0.90989,0.0005843,0.0005843,0.0005843
145,14709.3,0.31069,0.21437,0.89488,0.99947,1,0.995,0.97669,0.2706,0.17248,0.91878,0.0005744,0.0005744,0.0005744
146,14810.2,0.30711,0.21453,0.89036,0.99946,1,0.995,0.9738,0.26837,0.16636,0.92513,0.0005645,0.0005645,0.0005645
147,14911.5,0.3183,0.21979,0.89557,0.99947,1,0.995,0.97195,0.27653,0.16528,0.92632,0.0005546,0.0005546,0.0005546
148,15012.4,0.3079,0.21358,0.89274,0.99948,1,0.995,0.97766,0.27404,0.16913,0.92674,0.0005447,0.0005447,0.0005447
149,15113.5,0.30417,0.20936,0.88708,0.99947,1,0.995,0.97658,0.26537,0.16283,0.91962,0.0005348,0.0005348,0.0005348
150,15214.5,0.31436,0.21575,0.88684,0.9995,1,0.995,0.97813,0.26516,0.16528,0.91432,0.0005249,0.0005249,0.0005249
151,15315.8,0.3076,0.21299,0.88787,0.99948,1,0.995,0.9778,0.2572,0.1604,0.91492,0.000515,0.000515,0.000515
152,15417.6,0.30778,0.21342,0.88536,0.99949,1,0.995,0.97486,0.26275,0.16411,0.92128,0.0005051,0.0005051,0.0005051
153,15518.3,0.30985,0.21253,0.88699,0.99949,1,0.995,0.97776,0.2692,0.16392,0.92305,0.0004952,0.0004952,0.0004952
154,15619.1,0.31373,0.21585,0.89966,0.99949,1,0.995,0.97901,0.2684,0.17148,0.91351,0.0004853,0.0004853,0.0004853
155,15720.5,0.31826,0.2155,0.89401,0.99948,1,0.995,0.97566,0.26952,0.16386,0.91857,0.0004754,0.0004754,0.0004754
156,15821.7,0.30386,0.21052,0.89096,0.99944,1,0.995,0.97805,0.26357,0.16644,0.91315,0.0004655,0.0004655,0.0004655
157,15923.2,0.29608,0.20495,0.88306,0.99946,1,0.995,0.97692,0.26795,0.16133,0.92362,0.0004556,0.0004556,0.0004556
158,16024,0.30342,0.21196,0.88617,0.99947,1,0.995,0.97663,0.26311,0.15984,0.92101,0.0004457,0.0004457,0.0004457
159,16125.5,0.30717,0.20875,0.88825,0.99947,1,0.995,0.97734,0.26484,0.16148,0.91909,0.0004358,0.0004358,0.0004358
160,16226.6,0.30456,0.20808,0.88708,0.99948,1,0.995,0.97905,0.2578,0.15881,0.91441,0.0004259,0.0004259,0.0004259
161,16327.8,0.30422,0.20894,0.89126,0.99946,1,0.995,0.97933,0.26695,0.16556,0.91622,0.000416,0.000416,0.000416
162,16429,0.29431,0.20514,0.89142,0.99948,1,0.995,0.97427,0.25685,0.16087,0.90629,0.0004061,0.0004061,0.0004061
163,16530.1,0.31147,0.21212,0.88712,0.99947,1,0.995,0.97554,0.26806,0.16636,0.91837,0.0003962,0.0003962,0.0003962
164,16631.2,0.29543,0.20771,0.88795,0.99943,1,0.995,0.97641,0.26639,0.16337,0.92106,0.0003863,0.0003863,0.0003863
165,16732.8,0.29751,0.20445,0.87742,0.99946,1,0.995,0.98054,0.26073,0.16625,0.91327,0.0003764,0.0003764,0.0003764
166,16834.1,0.29087,0.20744,0.87379,0.99946,1,0.995,0.97739,0.26244,0.16611,0.91687,0.0003665,0.0003665,0.0003665
167,16935.4,0.29357,0.20415,0.87893,0.99947,1,0.995,0.97707,0.26404,0.16253,0.91664,0.0003566,0.0003566,0.0003566
168,17037,0.2926,0.20185,0.88536,0.99947,1,0.995,0.97896,0.26526,0.16668,0.91999,0.0003467,0.0003467,0.0003467
169,17138.2,0.29885,0.20816,0.89266,0.99946,1,0.995,0.97549,0.25845,0.16509,0.91156,0.0003368,0.0003368,0.0003368
170,17239.3,0.29682,0.20384,0.88257,0.99946,1,0.995,0.97634,0.25812,0.16658,0.91496,0.0003269,0.0003269,0.0003269
171,17341.1,0.29474,0.20153,0.88513,0.99947,1,0.995,0.9744,0.25974,0.16413,0.9183,0.000317,0.000317,0.000317
172,17442.5,0.2974,0.20334,0.88561,0.99948,1,0.995,0.97583,0.26109,0.16112,0.92173,0.0003071,0.0003071,0.0003071
173,17543.4,0.30189,0.20729,0.88851,0.9995,1,0.995,0.97575,0.25503,0.16426,0.91709,0.0002972,0.0002972,0.0002972
174,17644.6,0.28655,0.19952,0.87412,0.99949,1,0.995,0.97382,0.25995,0.16375,0.91705,0.0002873,0.0002873,0.0002873
175,17745.8,0.2931,0.20137,0.8802,0.99948,1,0.995,0.97435,0.26322,0.15677,0.93154,0.0002774,0.0002774,0.0002774
176,17847.2,0.28419,0.19636,0.8789,0.99948,1,0.995,0.97622,0.26306,0.16162,0.92303,0.0002675,0.0002675,0.0002675
177,17948.4,0.29407,0.19871,0.88251,0.99942,1,0.995,0.97517,0.25641,0.15876,0.91828,0.0002576,0.0002576,0.0002576
178,18049.6,0.29501,0.20351,0.88661,0.99945,1,0.995,0.97715,0.26088,0.16211,0.92576,0.0002477,0.0002477,0.0002477
179,18151,0.30023,0.2021,0.88393,0.99948,1,0.995,0.97562,0.26242,0.16031,0.92265,0.0002378,0.0002378,0.0002378
180,18252,0.28884,0.1959,0.87807,0.99946,1,0.995,0.97582,0.26235,0.16515,0.91906,0.0002279,0.0002279,0.0002279
181,18353.1,0.29068,0.20054,0.88622,0.99946,1,0.995,0.97707,0.25313,0.15801,0.91296,0.000218,0.000218,0.000218
